grid_point, number_obs_available, analysis_value
[0, 0],42.0,5287.639752843197
[0, 1],42.0,5306.0523961833105
[0, 2],44.0,5334.661211621809
[0, 3],46.0,5351.609857067074
[0, 4],50.0,5355.188104542855
[0, 5],51.0,5378.566897890172
[0, 6],54.0,5387.081563508964
[0, 7],54.0,5395.585821991755
[0, 8],55.0,5411.072432789616
[0, 9],53.0,5438.321932248582
[0, 10],55.0,5455.636396706893
[0, 11],54.0,5496.859367539624
[0, 12],54.0,5518.220812941952
[0, 13],50.0,5566.597220432624
[0, 14],51.0,5577.858437174378
[0, 15],49.0,5653.643116072475
[0, 16],49.0,5691.622602608681
[0, 17],46.0,5725.737771499611
[0, 18],44.0,5771.305870772456
[0, 19],41.0,5832.506798920105
[0, 20],38.0,5896.519959307625
[0, 21],36.0,5964.436165102234
[1, 0],43.0,5289.050589128543
[1, 1],44.0,5311.977048768915
[1, 2],48.0,5334.929631031105
[1, 3],49.0,5354.255175635542
[1, 4],52.0,5354.239081504963
[1, 5],54.0,5376.237136037962
[1, 6],58.0,5385.365166216642
[1, 7],57.0,5400.375550997795
[1, 8],57.0,5402.123105752498
[1, 9],57.0,5426.841708378548
[1, 10],56.0,5445.866480887485
[1, 11],56.0,5478.028782767078
[1, 12],58.0,5496.207718941081
[1, 13],55.0,5524.767006899299
[1, 14],53.0,5570.213831200206
[1, 15],52.0,5599.636164838805
[1, 16],52.0,5631.138274464844
[1, 17],48.0,5664.3820002395805
[1, 18],46.0,5716.663144375751
[1, 19],46.0,5757.706348906679
[1, 20],45.0,5809.472948435665
[1, 21],40.0,5878.608560068358
[2, 0],45.0,5281.554187425638
[2, 1],50.0,5310.01533249491
[2, 2],52.0,5326.825237209778
[2, 3],52.0,5350.351323307691
[2, 4],56.0,5354.173636384298
[2, 5],62.0,5366.34863060524
[2, 6],62.0,5382.980477452922
[2, 7],63.0,5398.3719202180055
[2, 8],62.0,5393.944425003616
[2, 9],60.0,5418.702594048082
[2, 10],59.0,5440.7006385391405
[2, 11],61.0,5451.512132554314
[2, 12],59.0,5477.261904151469
[2, 13],59.0,5492.039839350738
[2, 14],60.0,5530.638462708084
[2, 15],59.0,5552.334601596511
[2, 16],57.0,5580.069750605013
[2, 17],57.0,5611.5946482488
[2, 18],53.0,5648.729288870454
[2, 19],50.0,5696.631587606753
[2, 20],49.0,5744.326779554569
[2, 21],46.0,5804.532422976714
[3, 0],51.0,5292.766824064367
[3, 1],53.0,5307.312117401734
[3, 2],54.0,5327.867611208454
[3, 3],58.0,5346.901981357889
[3, 4],61.0,5353.636824039727
[3, 5],62.0,5360.925081801455
[3, 6],67.0,5375.614523776472
[3, 7],68.0,5394.839923996627
[3, 8],63.0,5414.887226558466
[3, 9],61.0,5421.066764720354
[3, 10],64.0,5421.255931477423
[3, 11],66.0,5439.472021805483
[3, 12],65.0,5459.195762719877
[3, 13],65.0,5478.3861349073695
[3, 14],65.0,5498.983423746266
[3, 15],65.0,5516.528524700974
[3, 16],63.0,5538.804291328415
[3, 17],60.0,5570.873626657198
[3, 18],58.0,5599.211466184184
[3, 19],55.0,5637.137708312148
[3, 20],53.0,5682.561522014119
[3, 21],52.0,5730.821633997693
[4, 0],52.0,5300.102699228868
[4, 1],53.0,5309.6937606097545
[4, 2],60.0,5322.653090581314
[4, 3],60.0,5343.298457195
[4, 4],64.0,5346.2888485405965
[4, 5],70.0,5359.019744755507
[4, 6],70.0,5377.241265341209
[4, 7],69.0,5388.112240756206
[4, 8],69.0,5402.437602504716
[4, 9],71.0,5416.108272996432
[4, 10],69.0,5423.936567485774
[4, 11],69.0,5439.978121532993
